epoch,val_accuracy,train_accuracy,loss,val_loss
0,0.5714031477327564,0.7350660417612614,2.764361613951813,2.3733489513397217
1,0.518968877542872,0.5284665508799938,2.0205945958519735,2.0310544967651367
2,0.46959501875675796,0.4691679734408436,1.7404295017383677,1.7654147148132324
3,0.4707479334234114,0.41561795028782916,1.4992055735930405,1.8325722217559814
4,0.39620687118889186,0.3837693623177946,1.3595719900826668,1.4727922677993774
5,0.372325466084648,0.3625404614283851,1.2703563124531065,1.4428656101226807
6,0.37649780744757366,0.3504792103529974,1.2227683345297085,1.3655532598495483
7,0.4486972421899684,0.3408709427642646,1.1826636941167443,1.8637369871139526
8,0.7001678325970334,0.3323571238248876,1.151726965684551,3.5100414752960205
9,0.49601775100992274,0.32576408434838566,1.1258586701395283,1.9357962608337402
10,0.8386239452915797,0.3210291925425596,1.1083480504827354,4.831795692443848
11,0.5453444195438256,0.3178710270788833,1.0984617367243619,2.207674264907837
